                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.48776,                  0.233,                0.83995,                0.99798,                0.98478,                0.99393,                0.87913,                0.58434,                0.28438,                0.86764,              0.0007328,              0.0007328,              0.0007328
                     67,                0.49017,                0.23235,                0.83895,                0.99572,                0.98701,                0.99388,                 0.8764,                0.58288,                0.27272,                0.86901,               0.000713,               0.000713,               0.000713
                     68,                0.48207,                0.23039,                0.83688,                0.99696,                0.98201,                0.99399,                0.88178,                0.55905,                 0.2744,                0.86092,              0.0006932,              0.0006932,              0.0006932
                     69,                0.48433,                0.23154,                0.83864,                 0.9872,                0.97403,                0.99146,                0.87287,                0.58459,                0.31296,                0.87538,              0.0006734,              0.0006734,              0.0006734
                     70,                0.48688,                0.23354,                0.83731,                0.99545,                0.98701,                0.99397,                0.87743,                0.58385,                0.27723,                 0.8703,              0.0006536,              0.0006536,              0.0006536
                     71,                0.48281,                0.22931,                0.83807,                0.99593,                0.97797,                0.99363,                0.88013,                 0.5599,                0.27743,                 0.8623,              0.0006338,              0.0006338,              0.0006338
                     72,                0.48208,                0.22749,                0.83758,                0.99492,                0.97888,                0.99356,                0.88454,                0.56064,                0.27713,                0.86549,               0.000614,               0.000614,               0.000614
                     73,                0.48556,                0.22999,                0.84151,                  0.993,                 0.9915,                0.99399,                0.88045,                0.57209,                0.26461,                0.86715,              0.0005942,              0.0005942,              0.0005942
                     74,                0.47623,                0.22528,                0.83659,                0.99798,                0.98703,                0.99401,                0.88193,                 0.5693,                0.26928,                0.86368,              0.0005744,              0.0005744,              0.0005744
                     75,                0.48121,                0.22639,                0.83796,                0.99596,                 0.9858,                0.99393,                0.87773,                0.58856,                0.27412,                0.87099,              0.0005546,              0.0005546,              0.0005546
                     76,                0.47641,                0.22336,                0.83652,                 0.9972,                0.98501,                0.99396,                 0.8814,                0.57023,                 0.2647,                0.86559,              0.0005348,              0.0005348,              0.0005348
                     77,                0.47815,                0.22401,                0.83676,                0.99696,                0.98403,                0.99393,                0.87791,                0.58471,                0.27419,                 0.8708,               0.000515,               0.000515,               0.000515
                     78,                0.48008,                0.22672,                0.83582,                0.99341,                0.98601,                0.99391,                0.87709,                0.59123,                0.27515,                0.87451,              0.0004952,              0.0004952,              0.0004952
                     79,                0.47929,                0.22168,                0.83791,                0.99697,                0.98677,                0.99393,                0.87973,                0.58899,                0.26426,                0.87057,              0.0004754,              0.0004754,              0.0004754
                     80,                0.47376,                0.21932,                0.83447,                  0.994,                0.99218,                0.99399,                0.87866,                0.58056,                0.26047,                0.86627,              0.0004556,              0.0004556,              0.0004556
                     81,                0.47415,                0.21926,                0.83489,                0.99697,                 0.9877,                  0.994,                0.88005,                0.57454,                0.26728,                0.86206,              0.0004358,              0.0004358,              0.0004358
                     82,                0.47677,                0.21775,                0.83703,                0.99297,                0.98736,                0.99392,                0.87888,                0.57975,                 0.2635,                0.86596,               0.000416,               0.000416,               0.000416
                     83,                0.47201,                0.21523,                0.83711,                0.99397,                0.98781,                0.99402,                0.87713,                0.58762,                0.26387,                0.86743,              0.0003962,              0.0003962,              0.0003962
                     84,                0.47079,                0.21491,                0.83618,                0.99697,                 0.9875,                0.99401,                 0.8834,                0.56847,                0.26365,                0.86287,              0.0003764,              0.0003764,              0.0003764
                     85,                0.47042,                0.21585,                0.83659,                0.99498,                0.99048,                0.99397,                0.87956,                0.57563,                0.25958,                0.86657,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.4663,                0.21266,                0.83491,                0.99497,                0.98762,                0.99395,                  0.882,                0.57955,                0.26507,                0.86713,              0.0003368,              0.0003368,              0.0003368
                     87,                0.46664,                0.21105,                0.83609,                0.99451,                0.98601,                0.99398,                0.88417,                  0.572,                0.26188,                0.86304,               0.000317,               0.000317,               0.000317
